screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
elonmusk,2020-09-24T03:39:34Z,@WholeMarsBlog Haha true,36,779,WholeMarsBlog,,,Twitter for iPhone,tl,1308974330542514176
elonmusk,2020-09-24T02:39:09Z,@oneandonlyheady Maybe I will …,124,1830,oneandonlyheady,,,Twitter for iPhone,en,1308959127499014146
elonmusk,2020-09-23T23:31:48Z,@TechAmazing @UniverCurious Jets are so cool,861,27027,TechAmazing,,,Twitter for iPhone,en,1308911979084550144
elonmusk,2020-09-23T21:12:12Z,@flcnhvy @Gfilche @YahooFinance Pretty much,38,1399,flcnhvy,,,Twitter for iPhone,en,1308876843949359111
elonmusk,2020-09-23T21:07:43Z,@1stPrinciples4L @Gfilche @YahooFinance Yes,23,772,1stPrinciples4L,,,Twitter for iPhone,,1308875716365352961
elonmusk,2020-09-23T21:01:54Z,@Gfilche @YahooFinance Yahoo Finance is as dumb as it sounds,545,5712,Gfilche,,,Twitter for iPhone,en,1308874255858364416
elonmusk,2020-09-23T17:29:43Z,@ICannot_Enough Yes,214,6567,ICannot_Enough,,,Twitter for iPhone,,1308820856856932352
elonmusk,2020-09-23T17:23:04Z,@Neopork85 @SpaceX Haha,84,3353,Neopork85,,,Twitter for iPhone,tl,1308819183652597761
elonmusk,2020-09-23T08:15:50Z,@tobyliiiiiiiiii @Tesla Roadster will be better,291,5147,tobyliiiiiiiiii,,,Twitter for iPhone,en,1308681468793643009
elonmusk,2020-09-23T01:29:38Z,@PPathole Probably,61,2957,PPathole,,,Twitter for iPhone,en,1308579242582503425
elonmusk,2020-09-23T00:28:04Z,"Cybertruck, ATV, Roadster &amp; Semi
C A R S https://t.co/4Aq1A5cYkH",33532,331842,,,,Twitter for iPhone,en,1308563749888864257
elonmusk,2020-09-23T00:25:16Z,@FutureJurvetson @hiromichimizuno Thanks for your many years of support through very tough times!,80,1896,FutureJurvetson,,,Twitter for iPhone,en,1308563044423725056
elonmusk,2020-09-23T00:23:53Z,"@ICannot_Enough @WholeMarsBlog We will be a little below that this year (most challenging year we’ve ever had), but probably above that next few years",135,2019,ICannot_Enough,,,Twitter for iPhone,en,1308562698137821184
elonmusk,2020-09-23T00:17:21Z,@WholeMarsBlog That’s about right. Maybe a little faster.,330,7444,WholeMarsBlog,,,Twitter for iPhone,en,1308561053366718464
elonmusk,2020-09-22T23:24:27Z,@umutcnbostanci Yes,99,1833,umutcnbostanci,,,Twitter for iPhone,,1308547741862125569
elonmusk,2020-09-22T23:23:49Z,@teslaownersSV cgi irl,121,3313,teslaownersSV,,,Twitter for iPhone,tl,1308547580368883713
elonmusk,2020-09-22T21:02:01Z,@tobyliiiiiiiiii @CARandDRIVER @Tesla Haha,117,2831,tobyliiiiiiiiii,,,Twitter for iPhone,tl,1308511896635494401
elonmusk,2020-09-22T21:00:10Z,RT @CARandDRIVER: We drove a Model S Long Range Plus for 422.7 miles in California and believe we could have made it to 430. @Tesla explained how they’re killing it on range: https://t.co/0CVh03kDCP https://t.co/d3sJ54thns,682,0,,CARandDRIVER,,Twitter for iPhone,en,1308511431378124800
elonmusk,2020-09-22T05:56:48Z,"The extreme difficulty of scaling production of new technology is not well understood. It’s 1000% to 10,000% harder than making a few prototypes. The machine that makes the machine is vastly harder than the machine itself.",2480,33438,elonmusk,,,Twitter for iPhone,en,1308284091142266881
elonmusk,2020-09-22T00:27:40Z,@NASASpaceflight @BocaChicaGal Haha,100,3978,NASASpaceflight,,,Twitter for iPhone,tl,1308201260722524160
elonmusk,2020-09-21T21:00:46Z,"We intend to increase, not reduce battery cell purchases from Panasonic, LG &amp; CATL (possibly other partners too). However, even with our cell suppliers going at maximum speed, we still foresee significant shortages in 2022 &amp; beyond unless we also take action ourselves.",2258,36575,elonmusk,,,Twitter for iPhone,en,1308149191684710400
elonmusk,2020-09-21T20:56:52Z,"Important note about Tesla Battery Day unveil tomorrow. This affects long-term production, especially Semi, Cybertruck &amp; Roadster, but what we announce will not reach serious high-volume production until 2022.",5992,73323,,,,Twitter for iPhone,en,1308148212876812289
elonmusk,2020-09-21T20:54:31Z,@EvaFoxU Thanks!,53,2650,EvaFoxU,,,Twitter for iPhone,en,1308147618791350272
elonmusk,2020-09-21T20:54:06Z,@Neopork85 @SpaceX @MarcusHouseGame We really need better legs for Starship. They’re coming.,138,3705,elonmusk,,,Twitter for iPhone,en,1308147514730622977
elonmusk,2020-09-21T20:53:29Z,"@Neopork85 @SpaceX @MarcusHouseGame Most likely, all flaps will fold after landing to reduce wind tip over force. There may be some cases where flaps deployed help stability (change in wind direction), in which case one or more flaps will extend.",122,2507,Neopork85,,,Twitter for iPhone,en,1308147358568337408
elonmusk,2020-09-21T20:49:24Z,"@Model3Owners Fine, we’ll do it already 😀",244,6415,Model3Owners,,,Twitter for iPhone,en,1308146332347949056
elonmusk,2020-09-21T20:47:52Z,"@ARKInvest @TashaARK Good analysis, although I think we should wait until FSD is a bit more mature",130,2361,ARKInvest,,,Twitter for iPhone,en,1308145945024950274
elonmusk,2020-09-21T20:27:42Z,@singing__surfer I’m pretty sure Tesla could do a much better autocorrect. The bar is so low haha.,209,7135,singing__surfer,,,Twitter for iPhone,en,1308140871041204225
